FIELD CODE,FIELD NAME,CONTENT TO REPORT,LOAN 1,LOAN 2,LOAN 3,LOAN 4,LOAN 5,__errors__
AUTL1,Unique Identifier,The unique identifier assigned by the reporting entity,AUT-2024-001-A,AUT-2024-002-B,AUT-2024-003-C,AUT-2024-004-D,AUT-2024-005-E,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL2,Original Underlying Exposure Identifier,Unique underlying exposure identifier,ORIG-EXP-001,ORIG-EXP-002,ORIG-EXP-003,ORIG-EXP-004,ORIG-EXP-005,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL3,New Underlying Exposure Identifier,New identifier if changed from AUTL2,ORIG-EXP-001,ORIG-EXP-002,ORIG-EXP-003,ORIG-EXP-004,ORIG-EXP-005,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL4,Original Obligor Identifier,Original unique obligor identifier,OBLG-2024-001,OBLG-2024-002,OBLG-2024-003,OBLG-2024-004,OBLG-2024-005,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL5,New Obligor Identifier,New identifier if changed from AUTL4,OBLG-2024-001,OBLG-2024-002,OBLG-2024-003,OBLG-2024-004,OBLG-2024-005,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL6,Data Cut-Off Date,The data cut-off date for this submission,31/12/2024,31/12/2024,31/12/2024,31/12/2024,31/12/2024,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL7,Pool Addition Date,Date exposure was transferred to SSPE,15/01/2024,20/02/2024,10/03/2024,05/04/2024,12/05/2024,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL8,Date Of Repurchase,Date exposure was repurchased from pool,,,,,,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL9,Redemption Date,Date account redeemed or recovery completed,,,,,,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
AUTL10,Geographic Region - Obligor,NUTS3 classification where obligor located,DE21A,FR105,ITC4A,ES300,NL113,"{'CONTENT TO REPORT': ['unknown field'], 'FIELD CODE': ['unknown field'], 'FIELD NAME': ['unknown field'], 'LOAN 1': ['unknown field'], 'LOAN 2': ['unknown field'], 'LOAN 3': ['unknown field'], 'LOAN 4': ['unknown field'], 'LOAN 5': ['unknown field']}"
